Year,Basin,Location,Month,Min,Mean,Max,Type,Lat,Long,Notes
2017,White-Hat,Chadron Creek (Entrance),August,54.995,60.08425034,64.845,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),September,47.647,55.52876597,62.533,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),October,40.111,48.69036962,56.251,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),November,39.22,43.86005853,47.781,Coolwater,42.70781,-103.0076,
2017,White-Hat,Chadron Creek (Entrance),December,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),January,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),February,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),March,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),April,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),May,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),June,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),July,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),August,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),September,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),October,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),November,NA,NA,NA,Coolwater,42.70781,-103.0076,
2018,White-Hat,Chadron Creek (Entrance),December,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),January,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),February,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),March,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),April,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),May,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),June,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),July,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),August,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),September,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),October,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),November,NA,NA,NA,Coolwater,42.70781,-103.0076,
2019,White-Hat,Chadron Creek (Entrance),December,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),January,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),February,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),March,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),April,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),May,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),June,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),July,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),August,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),September,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),October,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),November,NA,NA,NA,Coolwater,42.70781,-103.0076,
2020,White-Hat,Chadron Creek (Entrance),December,NA,NA,NA,Coolwater,42.70781,-103.0076,
2015,White-Hat,Chadron Creek (Above Discharge),July,NA,NA,NA,Coolwater,42.70919,-103.0097,
2015,White-Hat,Chadron Creek (Above Discharge),August,50.819,59.07886694,65.851,Coolwater,42.70919,-103.0097,
2015,White-Hat,Chadron Creek (Above Discharge),September,49.759,56.48642778,62.425,Coolwater,42.70919,-103.0097,
2015,White-Hat,Chadron Creek (Above Discharge),October,41.81,51.35547715,58.131,Coolwater,42.70919,-103.0097,
2015,White-Hat,Chadron Creek (Above Discharge),November,35.564,43.99358056,52.75,Coolwater,42.70919,-103.0097,
2015,White-Hat,Chadron Creek (Above Discharge),December,32.841,39.19902798,47.557,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),January,35.055,40.3344748,46.346,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),February,35.298,43.17283154,52.115,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),March,36.554,45.79574227,56.34,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),April,40.064,49.48939896,62.362,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),May,NA,NA,NA,Coolwater,42.70919,-103.0097,Out of Water
2016,White-Hat,Chadron Creek (Above Discharge),June,45.714,59.33892708,87.073,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),July,45.714,58.67332068,64.974,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),August,NA,NA,NA,Coolwater,42.70919,-103.0097,Out of Water
2016,White-Hat,Chadron Creek (Above Discharge),September,51.413,59.61399462,67.028,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),October,NA,NA,NA,Coolwater,42.70919,-103.0097,Lost
2016,White-Hat,Chadron Creek (Above Discharge),November,NA,NA,NA,Coolwater,42.70919,-103.0097,
2016,White-Hat,Chadron Creek (Above Discharge),December,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),January,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),February,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),March,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),April,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),May,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),June,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),July,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),August,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),September,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),October,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),November,NA,NA,NA,Coolwater,42.70919,-103.0097,
2017,White-Hat,Chadron Creek (Above Discharge),December,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),January,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),February,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),March,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),April,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),May,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),June,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),July,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),August,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),September,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),October,NA,NA,NA,Coolwater,42.70919,-103.0097,
2018,White-Hat,Chadron Creek (Above Discharge),November,NA,NA,NA,Coolwater,42.70919,-103.0097,
