Date,Temp
6/12/2017,61.333
6/12/2017,61.419
6/12/2017,61.633
6/12/2017,61.934
6/12/2017,62.105
6/12/2017,62.233
6/12/2017,62.533
6/12/2017,62.791
6/12/2017,63.048
6/12/2017,63.304
6/12/2017,63.433
6/12/2017,63.475
6/12/2017,63.475
6/12/2017,63.518
6/12/2017,63.518
6/12/2017,63.475
6/12/2017,63.433
6/12/2017,63.39
6/12/2017,63.304
6/12/2017,63.219
6/12/2017,63.133
6/12/2017,63.09
6/12/2017,63.005
6/12/2017,62.875
6/12/2017,62.704
6/12/2017,62.577
6/12/2017,62.447
6/12/2017,62.362
6/12/2017,62.233
6/12/2017,62.062
6/12/2017,61.934
6/12/2017,61.804
6/12/2017,61.677
6/12/2017,61.506
6/12/2017,61.376
6/12/2017,61.248
6/12/2017,61.075
6/12/2017,60.948
6/12/2017,60.818
6/12/2017,60.69
6/12/2017,60.517
6/13/2017,60.346
6/13/2017,60.132
6/13/2017,59.959
6/13/2017,59.788
6/13/2017,59.659
6/13/2017,59.486
6/13/2017,59.315
6/13/2017,59.185
6/13/2017,59.014
6/13/2017,58.885
6/13/2017,58.755
6/13/2017,58.582
6/13/2017,58.411
6/13/2017,58.282
6/13/2017,58.152
6/13/2017,58.023
6/13/2017,57.85
6/13/2017,57.679
6/13/2017,57.506
6/13/2017,57.333
6/13/2017,57.204
6/13/2017,57.031
6/13/2017,56.858
6/13/2017,56.685
6/13/2017,56.512
6/13/2017,56.383
6/13/2017,56.208
6/13/2017,56.035
6/13/2017,55.906
6/13/2017,55.733
6/13/2017,55.558
6/13/2017,55.472
6/13/2017,55.342
6/13/2017,55.299
6/13/2017,55.299
6/13/2017,55.256
6/13/2017,55.256
6/13/2017,55.299
6/13/2017,55.386
6/13/2017,55.472
6/13/2017,55.558
6/13/2017,55.69
6/13/2017,55.863
6/13/2017,56.035
6/13/2017,56.295
6/13/2017,56.599
6/13/2017,56.901
6/13/2017,57.16
6/13/2017,57.549
6/13/2017,57.893
6/13/2017,58.195
6/13/2017,58.498
6/13/2017,58.755
6/13/2017,58.971
6/13/2017,59.185
6/13/2017,59.445
6/13/2017,59.83
6/13/2017,60.217
6/13/2017,60.303
6/13/2017,60.474
6/13/2017,60.604
6/13/2017,60.561
6/13/2017,60.561
6/13/2017,60.39
6/13/2017,60.303
6/13/2017,60.132
6/13/2017,60.046
6/13/2017,60.303
6/13/2017,60.474
6/13/2017,60.561
6/13/2017,60.561
6/13/2017,60.517
6/13/2017,60.561
6/13/2017,60.604
6/13/2017,60.69
6/13/2017,60.604
6/13/2017,60.474
6/13/2017,60.39
6/13/2017,60.346
6/13/2017,60.217
6/13/2017,60.089
