ID,DateTime,TempF,Location,,
167,7/11/2015 5:30,66.258,Gordon Creek #2,,
168,7/11/2015 5:45,66.173,Gordon Creek #2,,
169,7/11/2015 6:00,66.087,Gordon Creek #2,,
170,7/11/2015 6:15,66,Gordon Creek #2,,
171,7/11/2015 6:30,65.916,Gordon Creek #2,,
172,7/11/2015 6:45,65.829,Gordon Creek #2,,
173,7/11/2015 7:00,65.745,Gordon Creek #2,,
174,7/11/2015 7:15,65.701,Gordon Creek #2,,
175,7/11/2015 7:30,65.701,Gordon Creek #2,,
176,7/11/2015 7:45,65.701,Gordon Creek #2,,
177,7/11/2015 8:00,65.788,Gordon Creek #2,,
178,7/11/2015 8:15,65.745,Gordon Creek #2,,
179,7/11/2015 8:30,65.701,Gordon Creek #2,,
180,7/11/2015 8:45,65.701,Gordon Creek #2,,
181,7/11/2015 9:00,65.872,Gordon Creek #2,,
182,7/11/2015 9:15,66.043,Gordon Creek #2,,
183,7/11/2015 9:30,66.258,Gordon Creek #2,,
184,7/11/2015 9:45,66.558,Gordon Creek #2,,
185,7/11/2015 10:00,66.686,Gordon Creek #2,,
186,7/11/2015 10:15,66.857,Gordon Creek #2,,
187,7/11/2015 10:30,67.028,Gordon Creek #2,,
188,7/11/2015 10:45,67.329,Gordon Creek #2,,
189,7/11/2015 11:00,67.671,Gordon Creek #2,,
190,7/11/2015 11:15,67.885,Gordon Creek #2,,
191,7/11/2015 11:30,68.185,Gordon Creek #2,,
192,7/11/2015 11:45,68.571,Gordon Creek #2,,
193,7/11/2015 12:00,69.129,Gordon Creek #2,,
194,7/11/2015 12:15,69.514,Gordon Creek #2,,
195,7/11/2015 12:30,69.901,Gordon Creek #2,,
196,7/11/2015 12:45,70.329,Gordon Creek #2,,
197,7/11/2015 13:00,70.803,Gordon Creek #2,,
198,7/11/2015 13:15,71.274,Gordon Creek #2,,
199,7/11/2015 13:30,71.748,Gordon Creek #2,,
200,7/11/2015 13:45,72.221,Gordon Creek #2,,
201,7/11/2015 14:00,72.696,Gordon Creek #2,,
202,7/11/2015 14:15,73.126,Gordon Creek #2,,
203,7/11/2015 14:30,73.602,Gordon Creek #2,,
204,7/11/2015 14:45,74.034,Gordon Creek #2,,
205,7/11/2015 15:00,74.467,Gordon Creek #2,,
206,7/11/2015 15:15,74.899,Gordon Creek #2,,
207,7/11/2015 15:30,75.204,Gordon Creek #2,,
208,7/11/2015 15:45,75.42,Gordon Creek #2,,
209,7/11/2015 16:00,75.508,Gordon Creek #2,,
210,7/11/2015 16:15,75.508,Gordon Creek #2,,
211,7/11/2015 16:30,75.724,Gordon Creek #2,,
212,7/11/2015 16:45,75.898,Gordon Creek #2,,
213,7/11/2015 17:00,76.028,Gordon Creek #2,,
214,7/11/2015 17:15,76.203,Gordon Creek #2,,
215,7/11/2015 17:30,76.246,Gordon Creek #2,,
216,7/11/2015 17:45,76.332,Gordon Creek #2,,
217,7/11/2015 18:00,76.289,Gordon Creek #2,,
218,7/11/2015 18:15,76.289,Gordon Creek #2,,
219,7/11/2015 18:30,76.203,Gordon Creek #2,,
220,7/11/2015 18:45,76.071,Gordon Creek #2,,
221,7/11/2015 19:00,75.681,Gordon Creek #2,,
222,7/11/2015 19:15,75.333,Gordon Creek #2,,
223,7/11/2015 19:30,75.117,Gordon Creek #2,,
224,7/11/2015 19:45,75.117,Gordon Creek #2,,
225,7/11/2015 20:00,75.117,Gordon Creek #2,,
226,7/11/2015 20:15,75.029,Gordon Creek #2,,
227,7/11/2015 20:30,74.467,Gordon Creek #2,,
228,7/11/2015 20:45,74.206,Gordon Creek #2,,
229,7/11/2015 21:00,73.99,Gordon Creek #2,,
230,7/11/2015 21:15,73.774,Gordon Creek #2,,
231,7/11/2015 21:30,73.213,Gordon Creek #2,,
232,7/11/2015 21:45,72.653,Gordon Creek #2,,
233,7/11/2015 22:00,72.394,Gordon Creek #2,,
234,7/11/2015 22:15,72.221,Gordon Creek #2,,
235,7/11/2015 22:30,71.748,Gordon Creek #2,,
236,7/11/2015 22:45,71.103,Gordon Creek #2,,
237,7/11/2015 23:00,70.716,Gordon Creek #2,,
238,7/11/2015 23:15,70.029,Gordon Creek #2,,
239,7/11/2015 23:30,69.685,Gordon Creek #2,,
240,7/11/2015 23:45,69.085,Gordon Creek #2,,
241,7/12/2015 0:00,68.571,Gordon Creek #2,,
242,7/12/2015 0:15,68.099,Gordon Creek #2,,
243,7/12/2015 0:30,67.842,Gordon Creek #2,,
244,7/12/2015 0:45,67.757,Gordon Creek #2,,
245,7/12/2015 1:00,67.842,Gordon Creek #2,,
246,7/12/2015 1:15,67.543,Gordon Creek #2,,
247,7/12/2015 1:30,67.757,Gordon Creek #2,,
248,7/12/2015 1:45,67.757,Gordon Creek #2,,
249,7/12/2015 2:00,66.985,Gordon Creek #2,,
250,7/12/2015 2:15,66.515,Gordon Creek #2,,
251,7/12/2015 2:30,67.158,Gordon Creek #2,,
252,7/12/2015 2:45,67.242,Gordon Creek #2,,
253,7/12/2015 3:00,66.772,Gordon Creek #2,,
254,7/12/2015 3:15,66.472,Gordon Creek #2,,
255,7/12/2015 3:30,66.344,Gordon Creek #2,,
256,7/12/2015 3:45,66,Gordon Creek #2,,
257,7/12/2015 4:00,65.145,Gordon Creek #2,,
258,7/12/2015 4:15,64.803,Gordon Creek #2,,
259,7/12/2015 4:30,65.145,Gordon Creek #2,,
260,7/12/2015 4:45,64.418,Gordon Creek #2,,
261,7/12/2015 5:00,63.561,Gordon Creek #2,,
262,7/12/2015 5:15,63.133,Gordon Creek #2,,
263,7/12/2015 5:30,62.362,Gordon Creek #2,,
264,7/12/2015 5:45,61.72,Gordon Creek #2,,
265,7/12/2015 6:00,61.333,Gordon Creek #2,,
266,7/12/2015 6:15,61.29,Gordon Creek #2,,
267,7/12/2015 6:30,61.677,Gordon Creek #2,,
268,7/12/2015 6:45,61.462,Gordon Creek #2,,
269,7/12/2015 7:00,61.804,Gordon Creek #2,,
270,7/12/2015 7:15,62.233,Gordon Creek #2,,
271,7/12/2015 7:30,62.748,Gordon Creek #2,,
272,7/12/2015 7:45,65.23,Gordon Creek #2,,
273,7/12/2015 8:00,67.242,Gordon Creek #2,,
274,7/12/2015 8:15,68.443,Gordon Creek #2,,
275,7/12/2015 8:30,69.256,Gordon Creek #2,,
276,7/12/2015 8:45,70.243,Gordon Creek #2,,
277,7/12/2015 9:00,71.533,Gordon Creek #2,,
278,7/12/2015 9:15,72.093,Gordon Creek #2,,
279,7/12/2015 9:30,72.523,Gordon Creek #2,,
280,7/12/2015 9:45,72.826,Gordon Creek #2,,
281,7/12/2015 10:00,73.558,Gordon Creek #2,,
282,7/12/2015 10:15,73.861,Gordon Creek #2,,
283,7/12/2015 10:30,75.029,Gordon Creek #2,,
284,7/12/2015 10:45,75.594,Gordon Creek #2,,
285,7/12/2015 11:00,75.853,Gordon Creek #2,,
286,7/12/2015 11:15,75.853,Gordon Creek #2,,
287,7/12/2015 11:30,76.854,Gordon Creek #2,,
288,7/12/2015 11:45,77.421,Gordon Creek #2,,
289,7/12/2015 12:00,77.684,Gordon Creek #2,,
290,7/12/2015 12:15,77.684,Gordon Creek #2,,
291,7/12/2015 12:30,78.427,Gordon Creek #2,,
292,7/12/2015 12:45,78.822,Gordon Creek #2,,
293,7/12/2015 13:00,78.69,Gordon Creek #2,,
294,7/12/2015 13:15,79.128,Gordon Creek #2,,
295,7/12/2015 13:30,79.173,Gordon Creek #2,,
296,7/12/2015 13:45,80.492,Gordon Creek #2,,
297,7/12/2015 14:00,80.89,Gordon Creek #2,,
298,7/12/2015 14:15,81.111,Gordon Creek #2,,
299,7/12/2015 14:30,80.845,Gordon Creek #2,,
300,7/12/2015 14:45,81.111,Gordon Creek #2,,
301,7/12/2015 15:00,81.199,Gordon Creek #2,,
302,7/12/2015 15:15,81.288,Gordon Creek #2,,
303,7/12/2015 15:30,80.935,Gordon Creek #2,,
304,7/12/2015 15:45,81.199,Gordon Creek #2,,
305,7/12/2015 16:00,81.154,Gordon Creek #2,,
306,7/12/2015 16:15,81.288,Gordon Creek #2,,
307,7/12/2015 16:30,80.89,Gordon Creek #2,,
308,7/12/2015 16:45,81.288,Gordon Creek #2,,
309,7/12/2015 17:00,80.713,Gordon Creek #2,,
310,7/12/2015 17:15,80.404,Gordon Creek #2,,
311,7/12/2015 17:30,80.58,Gordon Creek #2,,
312,7/12/2015 17:45,80.449,Gordon Creek #2,,
313,7/12/2015 18:00,80.58,Gordon Creek #2,,
314,7/12/2015 18:15,79.48,Gordon Creek #2,,
315,7/12/2015 18:30,77.509,Gordon Creek #2,,
316,7/12/2015 18:45,76.464,Gordon Creek #2,,
317,7/12/2015 19:00,75.204,Gordon Creek #2,,
318,7/12/2015 19:15,74.467,Gordon Creek #2,,
319,7/12/2015 19:30,73.602,Gordon Creek #2,,
320,7/12/2015 19:45,72.912,Gordon Creek #2,,
321,7/12/2015 20:00,72.307,Gordon Creek #2,,
322,7/12/2015 20:15,71.704,Gordon Creek #2,,
323,7/12/2015 20:30,70.673,Gordon Creek #2,,
324,7/12/2015 20:45,69.685,Gordon Creek #2,,
325,7/12/2015 21:00,69.129,Gordon Creek #2,,
326,7/12/2015 21:15,68.484,Gordon Creek #2,,
327,7/12/2015 21:30,68.142,Gordon Creek #2,,
328,7/12/2015 21:45,67.543,Gordon Creek #2,,
329,7/12/2015 22:00,66.814,Gordon Creek #2,,
330,7/12/2015 22:15,66.472,Gordon Creek #2,,
331,7/12/2015 22:30,65.959,Gordon Creek #2,,
332,7/12/2015 22:45,65.444,Gordon Creek #2,,
333,7/12/2015 23:00,64.931,Gordon Creek #2,,
334,7/12/2015 23:15,64.247,Gordon Creek #2,,
335,7/12/2015 23:30,63.775,Gordon Creek #2,,
336,7/12/2015 23:45,63.09,Gordon Creek #2,,
337,7/13/2015 0:00,62.447,Gordon Creek #2,,
338,7/13/2015 0:15,62.019,Gordon Creek #2,,
339,7/13/2015 0:30,63.219,Gordon Creek #2,,
340,7/13/2015 0:45,63.39,Gordon Creek #2,,
341,7/13/2015 1:00,62.191,Gordon Creek #2,,
342,7/13/2015 1:15,62.704,Gordon Creek #2,,
343,7/13/2015 1:30,63.604,Gordon Creek #2,,
344,7/13/2015 1:45,63.648,Gordon Creek #2,,
345,7/13/2015 2:00,63.048,Gordon Creek #2,,
346,7/13/2015 2:15,62.533,Gordon Creek #2,,
347,7/13/2015 2:30,61.29,Gordon Creek #2,,
348,7/13/2015 2:45,60.26,Gordon Creek #2,,
349,7/13/2015 3:00,59.616,Gordon Creek #2,,
350,7/13/2015 3:15,59.572,Gordon Creek #2,,
351,7/13/2015 3:30,59.702,Gordon Creek #2,,
352,7/13/2015 3:45,60.046,Gordon Creek #2,,
353,7/13/2015 4:00,60.217,Gordon Creek #2,,
354,7/13/2015 4:15,59.916,Gordon Creek #2,,
355,7/13/2015 4:30,59.529,Gordon Creek #2,,
356,7/13/2015 4:45,59.272,Gordon Creek #2,,
357,7/13/2015 5:00,58.755,Gordon Creek #2,,
358,7/13/2015 5:15,58.626,Gordon Creek #2,,
359,7/13/2015 5:30,58.195,Gordon Creek #2,,
360,7/13/2015 5:45,58.239,Gordon Creek #2,,
361,7/13/2015 6:00,58.712,Gordon Creek #2,,
362,7/13/2015 6:15,58.498,Gordon Creek #2,,
363,7/13/2015 6:30,58.152,Gordon Creek #2,,
364,7/13/2015 6:45,58.239,Gordon Creek #2,,
365,7/13/2015 7:00,58.842,Gordon Creek #2,,
366,7/13/2015 7:15,59.873,Gordon Creek #2,,
367,7/13/2015 7:30,60.733,Gordon Creek #2,,
368,7/13/2015 7:45,64.074,Gordon Creek #2,,
369,7/13/2015 8:00,67.199,Gordon Creek #2,,
370,7/13/2015 8:15,69.728,Gordon Creek #2,,
371,7/13/2015 8:30,72.136,Gordon Creek #2,,
372,7/13/2015 8:45,74.163,Gordon Creek #2,,
373,7/13/2015 9:00,75.463,Gordon Creek #2,,
374,7/13/2015 9:15,77.16,Gordon Creek #2,,
375,7/13/2015 9:30,78.822,Gordon Creek #2,,
376,7/13/2015 9:45,78.822,Gordon Creek #2,,
377,7/13/2015 10:00,79.304,Gordon Creek #2,,
378,7/13/2015 10:15,81.288,Gordon Creek #2,,
379,7/13/2015 10:30,82.175,Gordon Creek #2,,
380,7/13/2015 10:45,83.199,Gordon Creek #2,,
381,7/13/2015 11:00,84.272,Gordon Creek #2,,
382,7/13/2015 11:15,86.119,Gordon Creek #2,,
383,7/13/2015 11:30,87.028,Gordon Creek #2,,
384,7/13/2015 11:45,86.891,Gordon Creek #2,,
385,7/13/2015 12:00,87.894,Gordon Creek #2,,
386,7/13/2015 12:15,87.71,Gordon Creek #2,,
387,7/13/2015 12:30,87.62,Gordon Creek #2,,
388,7/13/2015 12:45,86.981,Gordon Creek #2,,
389,7/13/2015 13:00,86.799,Gordon Creek #2,,
390,7/13/2015 13:15,86.391,Gordon Creek #2,,
391,7/13/2015 13:30,87.21,Gordon Creek #2,,
392,7/13/2015 13:45,86.936,Gordon Creek #2,,
393,7/13/2015 14:00,86.936,Gordon Creek #2,,
394,7/13/2015 14:15,86.936,Gordon Creek #2,,
395,7/13/2015 14:30,86.936,Gordon Creek #2,,
396,7/13/2015 14:45,87.255,Gordon Creek #2,,
397,7/13/2015 15:00,86.891,Gordon Creek #2,,
398,7/13/2015 15:15,86.754,Gordon Creek #2,,
399,7/13/2015 15:30,86.346,Gordon Creek #2,,
400,7/13/2015 15:45,86.437,Gordon Creek #2,,
401,7/13/2015 16:00,87.939,Gordon Creek #2,,
402,7/13/2015 16:15,87.573,Gordon Creek #2,,
403,7/13/2015 16:30,87.939,Gordon Creek #2,,
404,7/13/2015 16:45,88.351,Gordon Creek #2,,
405,7/13/2015 17:00,87.163,Gordon Creek #2,,
406,7/13/2015 17:15,88.351,Gordon Creek #2,,
407,7/13/2015 17:30,88.534,Gordon Creek #2,,
408,7/13/2015 17:45,89.224,Gordon Creek #2,,
409,7/13/2015 18:00,89.362,Gordon Creek #2,,
410,7/13/2015 18:15,88.488,Gordon Creek #2,,
411,7/13/2015 18:30,83.691,Gordon Creek #2,,
412,7/13/2015 18:45,79.743,Gordon Creek #2,,
413,7/13/2015 19:00,77.639,Gordon Creek #2,,
414,7/13/2015 19:15,76.332,Gordon Creek #2,,
415,7/13/2015 19:30,75.463,Gordon Creek #2,,
416,7/13/2015 19:45,74.683,Gordon Creek #2,,
417,7/13/2015 20:00,74.034,Gordon Creek #2,,
418,7/13/2015 20:15,73.256,Gordon Creek #2,,
419,7/13/2015 20:30,72.05,Gordon Creek #2,,
420,7/13/2015 20:45,70.502,Gordon Creek #2,,
421,7/13/2015 21:00,69.213,Gordon Creek #2,,
422,7/13/2015 21:15,68.356,Gordon Creek #2,,
423,7/13/2015 21:30,67.671,Gordon Creek #2,,
424,7/13/2015 21:45,67.199,Gordon Creek #2,,
425,7/13/2015 22:00,66.985,Gordon Creek #2,,
426,7/13/2015 22:15,66.686,Gordon Creek #2,,
427,7/13/2015 22:30,66.301,Gordon Creek #2,,
428,7/13/2015 22:45,65.916,Gordon Creek #2,,
429,7/13/2015 23:00,65.316,Gordon Creek #2,,
430,7/13/2015 23:15,64.589,Gordon Creek #2,,
431,7/13/2015 23:30,64.117,Gordon Creek #2,,
432,7/13/2015 23:45,63.819,Gordon Creek #2,,
433,7/14/2015 0:00,64.546,Gordon Creek #2,,
434,7/14/2015 0:15,64.161,Gordon Creek #2,,
435,7/14/2015 0:30,63.99,Gordon Creek #2,,
436,7/14/2015 0:45,64.033,Gordon Creek #2,,
437,7/14/2015 1:00,63.99,Gordon Creek #2,,
438,7/14/2015 1:15,63.946,Gordon Creek #2,,
439,7/14/2015 1:30,63.946,Gordon Creek #2,,
440,7/14/2015 1:45,63.99,Gordon Creek #2,,
441,7/14/2015 2:00,63.819,Gordon Creek #2,,
442,7/14/2015 2:15,63.604,Gordon Creek #2,,
443,7/14/2015 2:30,63.561,Gordon Creek #2,,
444,7/14/2015 2:45,63.518,Gordon Creek #2,,
445,7/14/2015 3:00,63.304,Gordon Creek #2,,
446,7/14/2015 3:15,62.875,Gordon Creek #2,,
447,7/14/2015 3:30,62.447,Gordon Creek #2,,
448,7/14/2015 3:45,62.233,Gordon Creek #2,,
449,7/14/2015 4:00,62.105,Gordon Creek #2,,
450,7/14/2015 4:15,62.105,Gordon Creek #2,,
451,7/14/2015 4:30,61.977,Gordon Creek #2,,
452,7/14/2015 4:45,61.547,Gordon Creek #2,,
453,7/14/2015 5:00,61.506,Gordon Creek #2,,
454,7/14/2015 5:15,61.376,Gordon Creek #2,,
455,7/14/2015 5:30,61.462,Gordon Creek #2,,
456,7/14/2015 5:45,61.419,Gordon Creek #2,,
457,7/14/2015 6:00,60.861,Gordon Creek #2,,
458,7/14/2015 6:15,60.647,Gordon Creek #2,,
459,7/14/2015 6:30,60.26,Gordon Creek #2,,
460,7/14/2015 6:45,59.745,Gordon Creek #2,,
461,7/14/2015 7:00,59.745,Gordon Creek #2,,
462,7/14/2015 7:15,60.39,Gordon Creek #2,,
463,7/14/2015 7:30,61.29,Gordon Creek #2,,
464,7/14/2015 7:45,64.845,Gordon Creek #2,,
465,7/14/2015 8:00,68.698,Gordon Creek #2,,
466,7/14/2015 8:15,71.661,Gordon Creek #2,,
467,7/14/2015 8:30,74.511,Gordon Creek #2,,
468,7/14/2015 8:45,76.203,Gordon Creek #2,,
469,7/14/2015 9:00,78.251,Gordon Creek #2,,
470,7/14/2015 9:15,79.7,Gordon Creek #2,,
471,7/14/2015 9:30,80.845,Gordon Creek #2,,
472,7/14/2015 9:45,82.042,Gordon Creek #2,,
473,7/14/2015 10:00,83.467,Gordon Creek #2,,
474,7/14/2015 10:15,85.082,Gordon Creek #2,,
475,7/14/2015 10:30,85.262,Gordon Creek #2,,
476,7/14/2015 10:45,85.577,Gordon Creek #2,,
477,7/14/2015 11:00,86.391,Gordon Creek #2,,
478,7/14/2015 11:15,86.211,Gordon Creek #2,,
479,7/14/2015 11:30,85.894,Gordon Creek #2,,
480,7/14/2015 11:45,86.891,Gordon Creek #2,,
481,7/14/2015 12:00,86.891,Gordon Creek #2,,
